id	area	hancom_shortcut	hancom_feature	rhwp_command	rhwp_shortcut	context	source	status	priority	test	notes
KS-FORMAT-011	서식	Alt+Shift+Z	줄 간격 늘리기	format:line-spacing-increase	Alt+Shift+Z	body	Hancom Hwp shortcut table	partial	P1	manual	저장/재열기와 다중 문단 검증 필요
KS-FORMAT-012	서식	F6	스타일	format:style-dialog	F6	body	Hancom Hwp shortcut table	stub	P1	manual	스타일 적용/편집/저장 연결 확인 필요
KS-INPUT-001	입력	Alt+F10	문자표	insert:symbols	Alt+F10	body	Hancom Hwp shortcut table	partial	P1	manual	문자 삽입 후 저장 검증 필요
KS-INPUT-002	입력	Ctrl+K,B	책갈피	insert:bookmark	Ctrl+K,B	body	Hancom Hwp shortcut table	partial	P1	manual	저장/재열기와 이동 검증 필요
KS-PAGE-001	쪽	Ctrl+Enter	쪽 나누기	page:break	Ctrl+Enter	body	Hancom Hwp shortcut table	implemented	P0	editing-core-regression.test.mjs	표 안에서는 행 삽입과 충돌하므로 context로 분리
KS-PAGE-002	쪽	Ctrl+Shift+Enter	단 나누기	page:column-break	Ctrl+Shift+Enter	body	Hancom Hwp shortcut table	implemented	P0	manual	저장/재열기와 다단 레이아웃 검증 필요
KS-PAGE-003	쪽	Ctrl+N,S	감추기	page:hide	Ctrl+N,S	body	Hancom Hwp shortcut table	partial	P1	manual	숨김 범위와 저장 검증 필요
KS-TABLE-001	표	Ctrl+N,T	표 만들기	table:create	Ctrl+N,T	body	Hancom Hwp shortcut table	partial	P0	table E2E	행/열/캡션/저장 검증 필요
KS-TABLE-002	표	Ctrl+Enter	줄 삽입	table:insert-row-below	Ctrl+Enter	table	Hancom Hwp shortcut table	partial	P0	manual	본문 쪽 나누기와 context 충돌 검증 필요
KS-TABLE-003	표	Alt+Insert	칸 삽입	table:insert-col-left	Alt+Insert	table	Hancom Hwp shortcut table	partial	P1	manual	한컴의 삽입 방향과 일치 여부 확인 필요
KS-TABLE-004	표	Alt+Delete	칸 지우기	table:delete-col	Alt+Delete	table	Hancom Hwp shortcut table	partial	P1	manual	행/열 삭제 세부 동작 확인 필요
KS-TABLE-005	표	F5	셀 블록 선택	internal	F5	table	Hancom Hwp shortcut table	partial	P0	manual	InputHandler 직접 처리, command registry 연결 없음
KS-VIEW-001	보기	Ctrl+G,C	조판 부호	view:ctrl-mark	Ctrl+G,C	body	Hancom Hwp shortcut table	implemented	P1	manual	표시 상태 저장 여부 확인 필요
KS-VIEW-002	보기	Ctrl+G,T	문단 부호	view:para-mark	Ctrl+G,T	body	Hancom Hwp shortcut table	implemented	P1	manual	표시 상태 저장 여부 확인 필요
KS-VIEW-003	보기	Ctrl+G,P	쪽 맞춤	view:zoom-fit-page	Ctrl+G,P	any	Hancom Hwp shortcut table	implemented	P2	shortcut-map-static.test.mjs	정적 연결 검증
KS-VIEW-004	보기	Ctrl+G,W	폭 맞춤	view:zoom-fit-width	Ctrl+G,W	any	Hancom Hwp shortcut table	implemented	P2	shortcut-map-static.test.mjs	정적 연결 검증
KS-VIEW-005	보기	Ctrl+G,Q	100%	view:zoom-100	Ctrl+G,Q	any	Hancom Hwp shortcut table	implemented	P2	shortcut-map-static.test.mjs	동적 zoom command까지 정적 검사에 포함
